[INFO] 2025-12-03 12:10:13,140 Ответ готов: 200
[INFO] 2025-12-03 12:10:13,140 время обработки запроса = 0.06673622131347656
[INFO] 2025-12-03 12:10:13,189 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-03 12:10:13,217 Ответ готов: 200
[INFO] 2025-12-03 12:10:13,217 время обработки запроса = 0.028296947479248047
[INFO] 2025-12-03 12:10:29,910 Запрос пришёл: /admin/myapp/product/add/
[INFO] 2025-12-03 12:10:29,954 Ответ готов: 302
[INFO] 2025-12-03 12:10:29,954 время обработки запроса = 0.04332375526428223
[INFO] 2025-12-03 12:10:29,959 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-03 12:10:30,048 Ответ готов: 200
[INFO] 2025-12-03 12:10:30,048 время обработки запроса = 0.08871912956237793
[INFO] 2025-12-03 12:10:30,166 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-03 12:10:30,218 Ответ готов: 200
[INFO] 2025-12-03 12:10:30,219 время обработки запроса = 0.052327632904052734
[INFO] 2025-12-03 12:10:34,471 Запрос пришёл: /
[INFO] 2025-12-03 12:10:34,582 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:34,677 Курс: 2.8997
[INFO] 2025-12-03 12:10:34,693 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:34,815 Курс: 2.8997
[INFO] 2025-12-03 12:10:34,834 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:34,963 Курс: 2.8997
[INFO] 2025-12-03 12:10:34,973 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,105 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,124 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,210 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,227 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,339 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,356 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,429 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,436 Запуск задачи dollar_to_byn
[INFO] 2025-12-03 12:10:35,534 Курс: 2.8997
[INFO] 2025-12-03 12:10:35,544 Запуск задачи dollar_to_byn
